7/15/2016 11:11:50 PM
3 1 1948 volts
Name	Area	Similarity	Match	R.T. (s)	Height	FWHH (s)	Tailing Factor	Peak S/N	Quant S/N	Base Mass	Quant Masses	CAS	Group	Type	Sample	Spectrum
Peak 9	302015	68		309.254	19857	0.685	1.94	37	42	281.02	XIC(281.02±500ppm)			Unknown	Day 1 L-3 v-1	147.67852:259.91 281.01627:23745.50 281.88900:1495.09 282.98646:1966.24 310.35489:390.58 351.91651:134.47 353.97036:75.39 366.75030:281.93 373.68951:77.21 374.20491:197.26 376.08287:389.67 376.55008:393.78 378.13911:575.97 387.82950:99.69 394.31541:127.05 402.79619:89.05 407.86164:348.33 435.30947:495.00 436.99820:152.31 437.29528:104.93 440.73813:142.76 443.98341:87.27 446.42204:182.98 446.88415:76.89 448.47036:94.15 455.84315:77.27 456.83954:490.58 464.62171:133.26 465.22790:116.52 465.49744:98.41 466.10419:110.34 469.17893:176.52 471.73757:372.44 473.51583:255.04 485.56085:201.95 487.35230:218.93 487.80237:353.41 490.32182:247.60 498.13036:91.52 505.82888:119.24 512.52511:132.51 514.25987:372.27 516.60429:244.90 519.62137:172.25 524.78303:550.07 531.43688:95.15 533.59943:156.39 536.46504:544.72 538.01016:154.06 547.87052:288.70 558.01660:174.47 563.14961:115.74 568.61047:183.38 568.70746:420.88 576.08274:125.48 576.31220:572.63 585.60817:110.46 590.64996:320.09 592.09043:204.19 592.99623:274.39
Peak 10	2282128	60		311.188	87455	0.807	0.87	76	89	73.05	XIC(73.05±500ppm)			Unknown	Day 1 L-3 v-1	73.05131:117179.44 74.09387:4077.12 197.43094:300.90 234.71987:174.66 267.07737:11195.98 267.90681:2871.07 292.65336:154.39 300.39826:93.63 323.03173:629.88 355.04154:28078.78 356.73779:179.80 357.65218:658.81 361.73554:232.28 368.60167:190.98 369.71491:85.65 371.82001:134.81 373.24123:255.35 375.53068:246.10 384.85195:288.77 385.21878:160.77 386.93759:329.80 389.49217:91.21 407.76397:96.22 412.31809:88.43 418.20270:177.68 424.48740:188.05 424.80878:233.69 425.29442:123.72 430.59311:142.53 431.63083:95.28 438.01411:109.58 438.69714:155.56 440.72933:314.24 444.24672:124.46 444.97124:99.72 447.28044:119.94 448.66884:144.62 452.11603:134.74 455.07320:149.84 455.70977:126.13 457.97980:170.39 459.18386:102.09 464.32059:313.05 464.62171:103.18 468.53516:119.23 469.68531:186.69 472.22450:174.22 472.32850:269.38 476.13861:90.31 478.45891:80.15 482.56733:143.02 488.55574:160.57 497.92228:395.84 500.32906:399.82 505.82888:117.49 516.95695:318.81 521.28903:170.05 525.29675:299.15 527.73441:283.47 530.14146:165.72 535.54948:113.87 549.66557:103.17 551.79149:95.06 555.64582:360.27 555.90832:80.32 557.19543:467.15 558.26767:128.92 560.48410:119.18 561.29789:102.31 565.44998:106.54 570.25380:293.45 572.37923:121.96 584.21243:528.62 594.45124:321.75 595.28845:254.58 597.03471:178.14
Peak 11	116137	161		313.05	5571	2.593	1.42	14	22	253.93	XIC(253.93±500ppm)			Unknown	Day 1 L-3 v-1	99.52127:152.19 222.95659:441.61 227.45599:161.91 253.93340:1588.97 265.27377:176.08 285.64276:114.48 285.80115:148.13 286.72237:184.52 336.35733:312.73 351.85792:76.65 359.31181:215.66 366.83346:324.51 367.25655:81.21 371.57912:94.52 376.04812:81.36 385.46376:157.91 391.77642:82.18 394.12935:89.15 397.07949:170.33 397.14359:169.94 397.67198:93.58 403.54883:93.44 413.35886:204.75 420.34869:99.93 423.76148:275.59 434.19507:203.13 438.07948:77.26 439.09062:205.94 442.10984:209.40 445.36668:96.00 448.80118:134.91 456.24339:88.33 460.59060:129.36 461.86522:102.74 464.04719:211.38 471.44710:131.65 476.10571:149.77 476.34312:119.49 477.16158:99.01 478.86896:121.16 481.94995:107.15 487.72756:79.36 495.41507:94.11 495.95841:328.64 501.76230:95.49 503.54883:207.21 508.60635:263.11 513.30331:103.96 517.06109:86.91 520.15926:187.60 537.96878:176.41 538.71385:307.79 543.82225:91.19 549.70479:215.90 560.14463:205.06 570.06479:79.02 576.19706:97.86 577.20962:203.39 578.67418:107.89 578.93821:211.38 579.72669:121.91 587.87818:96.56 588.93902:78.64 592.08528:127.26 592.96373:98.85
Decane	26456454	853		331.265	1901862	0.715	1.03	951	406	57.08	XIC(57.08±500ppm)			Unknown	Day 1 L-3 v-1	54.07107:42540.87 54.21128:1630.47 54.24169:2615.00 55.06613:517167.59 56.07141:540424.21 57.07859:2949547.30 57.30781:6753.77 57.47576:3375.36 58.08245:142135.79 59.31161:1030.14 67.07075:36277.88 68.17297:2613.55 69.07505:213258.37 69.33910:1758.95 70.08052:350690.11 70.28185:9012.39 71.08821:1393941.49 71.58811:5048.76 72.09484:68934.21 72.25422:1504.16 81.75680:687.10 83.08403:90935.54 84.09064:189435.83 84.45954:929.53 85.09867:727530.74 86.10167:50328.52 97.09364:34748.89 98.10296:125714.79 99.11089:135768.00 100.22069:1681.57 100.67696:312.31 112.12049:58186.34 113.12565:99114.22 114.12870:8776.65 120.50351:473.07 126.13036:29208.47 127.14049:66752.73 141.15511:34092.24 170.19187:78680.91 171.20001:10502.41 218.68688:183.77 297.85929:163.58 320.93027:109.96 348.81778:153.42 355.49995:84.60 362.00777:99.24 362.21859:474.47 367.43616:121.36 368.60425:374.03 371.27813:111.87 371.78814:233.87 378.82049:419.34 379.26532:160.38 399.41802:97.76 405.62220:137.05 412.66683:263.67 426.26124:77.08 432.30869:483.87 436.27680:191.10 437.81800:96.06 439.95042:255.78 442.36372:283.51 447.41258:112.05 456.88126:193.50 457.51198:107.20 459.85347:97.02 461.66385:81.81 466.10419:105.46 468.28825:260.44 472.29158:297.59 473.34810:110.01 474.95002:273.71 484.46316:275.33 497.01550:102.18 500.36384:89.88 501.20268:88.49 509.84133:97.71 511.04110:79.97 513.12577:224.04 516.13811:98.54 518.41156:83.18 519.09266:250.74 521.90248:193.67 522.22006:397.44 525.65952:582.55 529.67953:246.36 530.93292:113.71 533.81593:93.65 539.85809:232.44 551.82518:257.12 557.20383:202.78 561.18340:239.97 564.89058:244.44 570.66161:115.34 576.83149:166.47 582.32237:286.64 583.34255:86.38 583.71984:136.17 588.71162:121.40 589.33962:472.49 589.58328:186.89 592.84831:123.44 592.93321:171.84 595.55284:120.90
Peak 13	12228892			334.754	815555	0.772	1.05	4595	4961	235.85	XIC(235.85±500ppm)			Unknown	Day 1 L-3 v-1	49.07603:19947.12 50.02976:515427.02 51.00557:18743.02 73.01511:104098.99 74.02153:346941.06 75.02624:511377.69 76.03288:336803.92 76.97311:55639.43 77.46673:9519.36 77.96318:46640.29 78.46959:8243.59 80.91919:11595.15 90.89138:1797.63 92.89519:2464.35 103.91427:5527.61 105.92311:5223.10 106.92690:5037.58 115.92262:1900.23 116.92444:46343.88 117.42428:3693.19 117.92209:82903.18 118.42156:5991.51 118.92178:38144.54 119.42292:2614.83 127.91682:9754.88 128.87861:4437.16 129.90330:9081.81 130.87194:3752.63 150.82654:1119.39 151.51807:1289.45 151.90948:5299.09 152.50504:4508.09 152.94576:7488.39 153.40576:1798.88 153.65227:1608.42 153.93537:13849.97 154.37626:1404.97 154.63927:1465.12 154.94156:452505.51 155.89765:17315.31 156.57283:1845.08 156.94076:454108.79 157.94690:39125.18 159.42050:971.83 203.69114:415.57 221.79226:130.45 222.72348:131.69 232.84104:2103.17 233.84976:509406.31 234.84944:38116.60 235.84828:1005791.81 236.85067:67372.84 237.84368:488255.36 238.85008:30952.51 290.51996:149.56 295.86810:162.95 337.59217:99.43 350.27774:126.29 355.47216:415.01 356.85579:101.96 358.89358:257.38 361.94835:77.95 365.90890:237.25 367.37628:106.40 372.12505:548.65 394.84108:326.13 395.99192:116.84 410.87583:361.42 418.52732:257.35 424.58611:94.51 434.19590:417.09 436.25077:113.20 444.47972:244.15 444.80045:381.35 457.57880:87.43 470.67108:175.37 474.06071:441.69 480.23707:100.25 480.47814:202.89 482.91049:97.85 485.04081:75.41 490.87244:178.20 492.29126:107.61 495.55414:102.68 496.45854:116.34 501.16469:338.38 506.57258:151.72 509.77080:107.38 513.23254:111.97 514.57800:82.27 515.35776:79.02 517.73665:293.67 520.38169:140.11 520.97517:134.64 537.86526:130.66 543.31244:118.96 549.84494:336.38 553.11309:156.59 554.17708:126.57 554.32950:289.00 561.14988:99.37 564.30966:240.37 571.29092:317.03 582.18005:190.68 585.38141:144.21 586.89397:113.67 587.54087:226.51 590.57403:158.31 594.29845:299.24 599.75305:155.37 600.05909:88.57
Peak 14	1090601	165		336.875	69548	0.711	1.60	149	128	281.01	XIC(281.01±500ppm)			Unknown	Day 1 L-3 v-1	125.92851:1068.94 133.46644:707.38 182.62429:196.08 227.55021:219.06 232.76660:454.09 246.78572:162.04 251.88999:1709.33 264.86696:670.52 265.76048:2269.27 265.97127:4305.35 281.01053:91322.23 282.00138:26221.83 283.00121:16719.33 283.37737:367.72 284.37725:186.23 285.74835:117.06 310.44179:139.77 317.66315:286.12 321.37807:131.42 325.64777:108.28 337.99403:96.43 340.41017:97.43 351.91651:137.06 357.59388:591.15 373.59960:260.53 379.84383:421.90 383.53545:127.88 384.69621:391.30 386.47737:137.62 387.73463:185.17 394.00534:105.15 394.34143:342.15 420.41273:81.74 423.62119:95.69 424.65048:115.40 431.43616:144.24 439.16335:215.96 441.94954:382.56 444.47309:195.40 447.18447:198.29 447.71270:191.88 448.66884:108.26 449.56103:232.50 462.46960:140.78 469.92182:326.02 470.90466:119.42 474.53255:310.24 474.98057:102.06 479.72631:499.87 480.20203:391.39 482.66605:163.90 486.48660:106.53 493.94844:368.98 500.50360:147.57 512.17158:77.29 517.24399:329.44 523.25925:102.30 523.75956:115.95 531.58091:89.72 533.16657:122.63 541.23422:296.84 542.65733:141.88 548.12867:94.26 548.83893:349.78 550.07188:324.46 550.69136:97.36 551.52801:259.36 551.60831:181.94 552.28772:344.11 553.70097:92.17 555.05995:274.13 556.71878:132.37 558.74486:310.58 560.74175:198.36 561.96416:94.93 566.15031:345.59 568.35065:131.30 569.02109:155.30 570.03093:294.73 572.22977:84.57 574.88604:266.26 583.37922:237.09 584.12882:278.61 585.15469:112.91 589.39396:77.72 591.97527:109.84 597.53655:76.07 599.09474:176.76 599.29815:566.37 600.40270:300.90
Peak 15	290752	4		345.108	16495	0.864	0.96	83	72	340.98	XIC(340.98±500ppm)			Unknown	Day 1 L-3 v-1	121.43395:423.16 155.45293:2210.26 163.46750:2304.28 201.55601:573.15 205.49830:195.74 209.59259:222.39 219.77412:590.74 239.72263:181.81 294.97999:600.00 295.92183:357.78 308.62835:155.55 310.63289:247.08 320.70648:180.33 323.53667:315.23 324.57770:161.62 324.97066:8259.94 325.42234:291.99 325.92840:4837.32 326.40882:407.73 339.60383:101.72 340.98430:20999.50 341.58991:667.34 341.96922:5955.88 342.92289:1878.22 343.91015:783.05 344.92013:202.61 357.06262:615.86 359.39756:131.37 361.38014:396.44 363.89041:263.13 367.85540:94.87 372.57071:499.71 388.53328:243.60 393.32361:81.86 409.50002:323.22 409.97462:133.33 410.67063:113.52 410.90180:177.33 412.03524:361.54 412.63529:144.18 415.49556:106.85 430.33387:107.73 434.97852:212.32 441.87615:431.29 442.40516:84.56 444.37841:110.92 448.27193:100.51 448.51608:292.42 453.51190:117.20 456.44357:81.28 457.57880:93.63 464.15051:98.72 466.27422:232.84 474.98057:78.10 478.35571:184.26 488.62479:126.32 488.97010:108.98 489.24643:79.75 492.08336:125.60 495.10093:408.93 497.33509:225.98 498.44641:287.83 504.42476:97.22 505.40744:150.57 509.86186:396.59 517.77165:97.69 523.75956:77.40 524.58680:295.99 529.17079:158.91 530.67614:291.39 531.68899:195.81 532.44552:92.11 534.61012:105.66 536.82684:641.52 540.91230:85.19 541.56636:111.76 542.46989:297.44 546.85105:383.53 550.61806:81.67 554.63429:477.76 556.16100:154.45 561.89011:79.01 563.90934:398.31 564.70741:125.08 567.93866:219.23 570.21396:142.58 575.63563:268.70 582.77745:259.77 586.59130:152.01 593.19196:93.46 597.32121:666.32 598.66309:372.78
Peak 16	305332	32		369.309	22083	0.766	0.81	25	15	73.05	XIC(73.05±500ppm)			Unknown	Day 1 L-3 v-1	73.05117:39727.48 224.73223:200.10 282.58924:204.02 298.47648:272.36 345.44242:143.59 356.32493:118.87 356.91480:187.55 370.34525:276.12 370.94865:379.61 372.09248:260.78 372.90495:156.86 373.11082:462.39 376.04812:119.75 377.72244:223.39 381.76004:539.93 383.75313:266.30 384.14743:95.85 385.92490:131.56 386.58096:525.64 391.83825:111.42 394.68766:121.04 395.06009:140.01 407.28896:343.66 420.95994:310.56 427.19509:133.40 427.26570:155.75 428.26281:168.45 433.97026:81.41 439.84651:84.15 440.04307:86.01 442.77202:162.32 446.55405:118.74 446.90852:293.93 481.92170:198.54 486.21104:80.74 487.44745:442.79 489.77227:286.11 490.49090:104.07 491.34763:170.32 493.19268:140.31 496.77736:275.34 497.78183:122.09 509.87271:408.19 521.66177:133.06 522.58221:147.89 523.75956:103.28 525.65130:284.75 537.46119:232.83 537.64794:102.20 541.63905:124.93 543.26626:403.55 550.65183:285.47 555.61375:133.26 563.48346:294.82 578.25802:174.00 584.09726:93.22 584.35803:151.53 586.74262:108.59 588.14103:172.59 595.01933:119.84 595.17174:121.64 596.54428:119.61
Peak 17	4439118			372.89	192404	0.891	0.98	290	155	73.05	XIC(73.05±500ppm)			Unknown	Day 1 L-3 v-1	73.05038:275589.20 74.06774:12821.78 236.85938:701.62 249.46335:488.76 286.48800:189.54 299.99211:310.16 305.70039:178.58 309.56188:113.36 309.80684:346.20 311.98464:345.81 312.73089:497.70 315.55718:828.02 319.86799:119.57 324.96714:21247.33 325.95028:14567.57 326.40872:1260.34 326.58462:1734.46 340.99580:90851.07 342.00266:28983.88 342.98772:16919.62 344.00038:4146.13 344.95059:934.74 347.50693:1425.53 347.74637:4149.96 348.69829:1674.48 350.10238:197.10 363.13783:83.96 366.81576:376.69 368.72513:286.24 371.09759:148.78 377.86016:301.47 378.29264:118.17 383.62758:410.50 383.81429:212.70 384.26988:116.04 384.66633:385.76 393.38556:161.65 396.33521:296.65 403.67945:494.24 407.38560:170.13 411.11385:137.72 411.81083:103.14 412.98723:850.83 413.17302:1264.44 416.25997:125.75 421.44565:531.67 424.03931:255.41 429.06165:36280.42 430.05803:17805.29 430.62315:402.32 431.05294:11751.73 432.09790:3187.27 433.07927:1348.50 436.54334:190.76 437.26114:197.92 438.47185:79.63 439.61992:274.92 440.53398:282.66 451.12029:175.02 454.20958:210.86 457.84611:93.32 463.61229:78.89 466.30653:77.14 467.28278:254.12 469.38679:220.27 481.22972:289.78 483.23018:126.22 483.97882:176.47 486.10309:236.34 486.65847:302.39 488.48670:101.36 496.28283:190.28 499.84093:224.83 500.32785:256.08 502.81243:76.10 509.27723:85.80 509.70028:100.79 515.57052:151.13 520.11993:104.86 524.47470:106.39 531.83271:414.08 533.38298:143.48 535.72795:206.14 539.12598:346.24 540.40386:147.66 551.42466:93.80 553.66410:149.85 553.74088:176.82 557.12676:199.40 559.63936:210.42 562.33448:79.73 568.00910:295.11 584.39929:123.65 589.46980:113.78 593.61674:206.16 596.20120:179.25
Peak 18	359519	106		389.341	23659	0.756	1.81	25	24	71.05	XIC(71.05±500ppm)			Unknown	Day 1 L-3 v-1	71.05063:33516.73 304.41765:146.93 346.66264:92.97 352.53522:230.36 361.79634:245.65 366.68899:204.59 367.19670:122.40 378.96122:113.84 386.17039:192.91 394.93593:156.76 399.41802:92.92 404.67910:103.93 410.64102:225.59 412.18238:359.23 415.68660:89.37 417.85475:141.90 419.77250:75.46 422.91429:94.44 426.00331:179.95 431.50104:142.46 440.04307:105.44 440.20792:309.70 446.75210:132.36 449.56431:251.09 450.09052:324.20 454.84331:97.44 456.31011:83.93 458.74447:143.48 461.66687:476.78 470.25723:186.16 470.63356:202.62 481.50716:258.74 482.43010:80.51 484.80242:220.47 485.82467:286.52 486.03785:213.97 487.65857:78.27 497.96096:434.50 498.86490:150.30 509.91187:132.22 511.91470:231.56 517.09782:194.41 517.62950:96.04 520.37459:175.10 521.43776:230.92 524.76089:80.72 529.90377:477.49 530.21339:81.24 545.79088:112.34 550.51033:147.87 556.38998:373.16 569.84106:99.63 575.25814:190.35 576.91619:147.13 581.00602:81.09 583.79532:98.49 584.88836:157.03 590.60799:92.43 595.78156:82.54 599.56581:304.89
Peak 19	1336091	71		390.071	86098	0.734	1.06	93	62	73.05	XIC(73.05±500ppm)			Unknown	Day 1 L-3 v-1	73.04907:131127.61 250.95084:2688.46 251.69451:582.87 266.97311:25379.99 267.87451:682.58 268.71533:380.59 281.02034:14643.78 293.72299:157.49 306.87493:106.14 307.80581:163.48 310.63465:273.04 322.83558:88.98 323.50940:138.91 338.98322:736.51 341.58800:245.75 350.62858:87.10 351.27225:80.44 351.41864:221.80 355.01246:20010.56 355.41374:3058.20 356.02895:8048.09 356.41276:1458.52 357.00556:3701.28 357.68235:133.05 364.56780:116.82 374.77718:92.07 376.53286:91.66 380.38428:384.86 387.70648:85.50 400.60501:108.30 407.82705:148.44 412.41479:300.81 421.95127:104.56 424.03540:122.32 425.84669:289.32 438.14487:136.27 442.25124:156.07 449.75764:283.34 455.53772:388.22 456.17667:98.08 460.22532:312.15 462.56605:169.50 463.94864:77.80 472.12559:188.08 488.38336:153.03 499.07891:171.29 500.26226:210.20 505.61813:80.01 509.52062:455.37 512.38369:89.28 515.10424:277.52 517.77165:93.99 523.36334:141.01 523.51881:330.24 525.54832:138.95 530.94568:556.47 542.25602:263.61 543.56087:162.80 546.99852:145.68 550.79187:139.09 553.99503:144.56 558.85829:78.18 562.52066:294.44 573.94740:339.26 574.21314:248.76 574.47372:86.96 582.78083:220.13 583.30515:207.41 584.58432:243.93 586.51564:138.79 587.00889:828.95 587.46299:185.79 592.05128:138.72 593.14618:349.50 593.98312:213.21 599.75305:85.54
Peak 20	480283	84		394.321	16648	1.239	0.88	31	56	84.97	XIC(84.97±500ppm)			Unknown	Day 1 L-3 v-1	84.96529:18295.64 100.91519:5815.41 102.90182:3384.79 200.89368:1281.93 203.77824:277.52 218.82545:270.57 247.76800:167.58 297.42819:161.41 309.50693:75.89 318.97480:181.33 351.97511:83.87 356.97381:144.97 359.72587:268.81 367.61580:121.76 380.66572:108.56 431.40737:400.13 432.66979:120.96 439.45353:77.96 439.65000:121.34 447.77499:419.63 452.00995:256.70 462.24319:164.29 462.95975:140.75 469.30185:120.56 470.63356:84.44 475.32103:81.62 485.17841:121.30 490.00675:77.81 509.59533:163.62 510.47633:108.68 514.43010:338.11 516.66691:168.72 544.69676:82.46 546.65746:113.86 557.08737:94.92 557.47492:154.48 558.78444:95.69 574.73741:236.36 578.22340:98.98 586.40396:299.99
Peak 21	139989	54		397.334	6527	0.981	0.21	22	39	100.92	XIC(100.92±500ppm)			Unknown	Day 1 L-3 v-1	100.91538:5477.23 313.69726:202.93 337.59217:120.97 338.76656:237.91 357.26895:183.65 361.68293:201.38 379.66012:303.06 379.81300:163.27 381.97666:335.77 384.77460:528.82 392.67596:468.48 395.49017:409.25 399.98006:205.80 401.60595:181.84 408.39497:116.84 422.87019:364.17 426.74605:250.43 432.64085:143.22 437.71865:200.89 442.79946:78.54 443.77352:485.36 446.50575:280.86 455.47697:324.89 455.93867:214.66 457.17797:108.89 458.88236:235.33 459.58557:162.43 460.45653:100.07 464.89108:86.57 466.74624:321.80 472.80457:145.11 474.84443:92.16 475.96203:235.92 483.18511:82.72 485.97563:127.83 489.52968:356.37 489.79933:113.72 490.14506:84.51 497.57278:89.88 519.19422:115.10 519.52388:150.12 519.97746:138.89 521.33173:98.46 522.01147:221.55 528.63213:120.80 537.61841:208.61 538.85070:230.44 542.22948:208.80 542.33266:133.36 543.60373:105.71 569.26418:500.32 575.93368:169.48 576.34703:100.11 582.55265:254.84 587.23689:330.18 587.53862:166.56 590.11438:158.54 590.30902:492.67 590.92116:364.76 594.10529:113.02 594.67690:251.18 595.81613:264.53 597.65306:200.50
Peak 22	19482414	775		399.397	1365589	0.728	1.06	799	281	57.08	XIC(57.08±500ppm)			Unknown	Day 1 L-3 v-1	53.18238:3322.30 54.09269:17820.15 55.06645:407040.72 55.24784:4235.52 56.07154:358649.82 57.07886:2130388.81 57.33259:5936.00 57.38131:2591.37 57.71227:2141.97 58.11178:37397.51 69.07470:178653.90 70.08044:243615.66 70.30220:6079.25 70.44277:1737.96 70.67170:1047.49 70.83465:1691.70 71.08830:1136921.95 71.72971:3598.65 71.85881:1530.41 72.09486:53548.78 82.11749:10355.98 83.08503:97154.24 84.09173:119672.24 85.09910:650601.40 86.10293:45586.83 88.71366:379.82 97.09419:60001.80 98.10340:85723.59 99.11097:137476.58 100.15549:3939.41 100.80230:261.35 111.10706:17945.73 112.12067:48097.73 113.12394:68062.89 126.13163:37041.34 127.13895:58187.16 141.15307:44431.89 142.17055:2934.73 143.68349:410.57 154.15358:7717.72 155.17051:24379.07 169.22315:8209.73 176.55612:211.77 196.22462:2623.27 198.21905:39429.62 199.22173:5639.45 234.65100:378.58 266.67471:405.62 311.86911:665.53 313.72555:236.80 322.21854:231.16 323.84656:127.28 336.06341:258.00 345.77001:182.33 358.21422:142.84 360.43678:412.82 361.32534:209.21 363.55462:79.22 364.26966:142.74 366.09306:251.80 370.43599:137.80 371.83502:890.70 381.82453:83.46 394.43948:81.93 396.64211:377.54 412.41351:214.78 413.04697:205.47 414.12865:321.09 415.52933:317.04 433.05973:172.02 433.88501:445.67 434.75147:106.72 437.55660:129.78 440.88254:398.63 441.68274:81.18 442.83015:458.18 443.09282:291.87 443.39123:87.23 444.27768:207.33 445.76229:108.92 447.67691:108.05 448.83142:268.47 453.67283:160.34 456.37684:188.87 466.14051:289.97 474.09597:88.14 474.70830:108.53 476.06482:441.77 476.27494:112.28 479.68959:126.38 481.74424:123.81 485.63093:256.31 489.85641:443.94 497.25377:400.72 500.17595:199.18 505.71790:201.71 505.86742:361.63 509.40544:371.76 524.83245:93.01 527.27998:272.76 528.52993:207.45 533.56066:321.95 534.61012:138.28 537.17984:357.54 538.01016:135.05 539.78714:222.68 549.88530:178.69 552.30525:80.87 563.74280:109.99 567.93325:241.83 572.99364:645.15 577.35438:113.14 577.51049:216.64 578.37364:89.17 579.75668:308.12 581.42232:229.97 584.44295:580.04 594.18143:79.14 595.70532:89.22 597.50022:289.01 599.29413:82.02 600.32642:123.30 600.40976:203.52
Peak 23	454941	113		404.724	28672	0.736	1.13	65	52	109.07	XIC(109.07±500ppm)			Unknown	Day 1 L-3 v-1	109.07473:43472.38 151.09768:30426.27 303.92737:114.44 338.62600:98.56 340.31850:272.59 361.98571:256.80 362.30499:117.33 362.89978:139.05 364.24149:296.23 365.01670:372.91 379.56953:90.71 381.45840:98.23 382.64703:263.46 383.23255:397.51 391.84259:723.54 393.72316:303.00 396.67595:102.73 398.17045:150.58 398.35746:121.01 418.90963:220.41 430.46348:183.28 432.86474:139.11 451.62212:306.86 456.10995:77.09 457.92111:487.49 461.19415:82.40 467.69966:164.72 470.76910:92.50 471.47694:323.72 471.92199:76.88 473.75595:123.11 474.13382:302.42 474.37889:391.65 495.76277:112.04 496.53351:388.40 498.93126:210.13 500.89034:287.33 503.75659:317.47 504.00390:150.19 506.49663:235.96 507.12893:323.99 510.15550:285.87 510.75868:99.90 512.17274:211.78 512.27955:129.19 517.13213:197.16 518.41156:129.33 521.90248:103.19 530.46547:207.78 532.99032:367.45 534.00006:237.67 534.25098:335.69 538.51747:89.29 539.31516:115.79 540.69437:161.46 541.20392:456.64 543.09403:79.98 543.96795:89.67 545.71790:166.35 550.21612:360.19 556.35145:417.12 560.87947:144.54 562.77902:114.66 569.87814:136.32 569.98664:250.06 570.36316:107.12 572.00931:316.92 574.51304:339.18 574.81218:249.98 579.46339:306.65 580.05028:275.64 580.81748:277.11 584.70139:132.26 584.85247:147.69 585.11778:225.56 588.02967:79.68 588.40848:118.73 592.62428:237.33 596.35264:658.17 598.19411:213.07 600.05909:79.28
Peak 24	51223	67		406.792	3373	0.724	1.00	27	29	319.69	XIC(319.69±500ppm)			Unknown	Day 1 L-3 v-1	206.55080:284.56 240.79264:1544.20 283.64033:116.95 293.61594:140.45 308.57348:132.99 317.72108:628.83 319.68922:4129.20 321.70339:3224.84 323.79036:278.08 334.61446:167.13 337.87919:90.54 351.15518:87.90 386.29317:138.56 387.33754:118.25 387.97931:308.48 388.41704:201.92 393.60988:259.93 395.96367:178.84 398.14324:230.50 410.54404:133.72 412.19125:125.25 412.31809:124.53 412.44496:117.98 414.15954:206.93 422.40054:153.59 435.72898:86.76 437.42593:88.65 438.24536:306.03 439.65000:105.42 440.76415:116.83 441.91321:289.84 442.47087:127.75 452.84693:75.62 459.71951:124.69 464.16333:399.29 464.65602:292.96 470.67506:260.55 481.37521:523.35 484.83445:115.70 487.41404:156.10 502.88969:554.16 504.73552:348.32 520.61874:133.12 521.18909:88.78 521.39093:466.09 524.57354:248.19 540.15371:356.09 549.20526:317.40 555.72825:243.67 559.84923:173.02 560.11439:114.46 561.66799:129.84 568.54133:407.89 570.66662:445.44 574.69835:84.44 576.16622:242.49 582.85596:412.25 595.73745:433.08
Peak 25	7683091			416.806	514814	0.767	1.04	4067	3125	313.75	XIC(313.75±500ppm)			Unknown	Day 1 L-3 v-1	49.02318:60304.40 50.08546:16274.09 73.01545:113626.34 73.10359:19658.29 74.02225:477703.01 75.02724:376755.33 75.93956:3100.77 76.46684:21553.79 76.97007:53485.22 77.46873:23028.26 77.96885:59743.05 78.95610:6783.15 80.91212:8174.62 90.89220:2041.20 103.91462:6127.25 105.92298:7122.81 115.91966:28621.87 116.42048:9798.86 116.91674:51254.50 117.41816:17834.95 117.91610:27306.81 118.42134:9907.30 127.91685:12181.30 129.90336:10865.50 151.92059:6471.74 152.92740:62246.45 153.13276:6089.92 153.93452:101824.63 154.93110:73701.34 155.89522:54057.11 156.88383:58165.53 157.37613:2549.73 157.87608:54995.73 158.87408:16569.96 184.78300:376.79 205.81181:239.04 231.79019:1046.23 232.84596:149718.37 233.84543:17048.02 234.84511:296060.49 235.54613:1244.76 235.84719:34063.75 236.84132:147369.43 237.85400:21393.71 238.92543:3594.63 239.32419:5414.95 239.99049:10127.45 240.40373:20214.38 241.41812:665.38 241.63379:1510.38 241.95222:589.71 242.38877:5956.05 305.56315:199.47 308.93772:231.90 310.71702:153.74 311.75195:210259.11 312.75299:15491.73 313.75103:621163.70 314.74662:42892.85 315.74830:598393.90 316.75366:40724.03 317.74661:194062.24 318.75741:13209.61 319.36542:256.56 319.67375:464.40 323.34364:735.62 337.97275:419.00 355.67665:110.71 376.15333:316.36 384.45359:138.51 386.01810:308.81 409.78490:83.43 417.98246:89.58 419.59067:414.15 424.93958:157.31 436.41877:346.42 444.21378:258.72 449.39695:162.61 451.65121:94.23 456.77732:108.71 470.56579:87.49 479.41597:117.13 490.00675:101.79 497.32346:320.73 501.34256:80.34 503.75739:214.05 505.65943:246.57 506.25049:91.63 507.58677:147.51 509.66612:190.88 516.10637:305.54 516.49300:112.46 524.61778:86.87 526.47968:126.97 531.90205:246.26 540.62173:159.25 555.86987:232.26 563.68671:431.70 568.83905:247.94 571.36845:262.04 571.70681:137.64 572.34268:372.58 576.16441:304.23 581.00602:97.88 587.27241:184.74 588.93902:78.46 595.89135:304.53 599.14119:114.93 600.36522:128.55
